"","run","discount","nblock","type","row","names","par","true_par","convergence"
"260",38,0,30,1,1,"size",0.778246333459738,0.01,0
"261",38,0,30,1,1,"shape",0.00100000061793066,0.01,0
"262",38,0,30,1,1,"color",0.220753665922094,0.98,0
"263",38,0,30,1,1,"lambda",4.53489650830221,1,0
"264",38,0,30,1,1,"b0",0.450400804002967,0.5,0
"265",38,0,30,1,1,"b1",0.549599195997033,0.5,0
"266",38,0,30,1,1,"tau",0.104189884196148,0.1,0
"267",39,0,30,1,1,"size",0.364124997884213,0.01,0
"268",39,0,30,1,1,"shape",0.001000268896942,0.01,0
"269",39,0,30,1,1,"color",0.634874733218845,0.98,0
"270",39,0,30,1,1,"lambda",1.71720773044513,1,0
"271",39,0,30,1,1,"b0",0.487741226117288,0.5,0
"272",39,0,30,1,1,"b1",0.512258773882712,0.5,0
"273",39,0,30,1,1,"tau",0.100226894946127,0.1,0
"274",40,0,30,1,1,"size",0.00100002586847127,0.01,0
"275",40,0,30,1,1,"shape",0.001,0.01,0
"276",40,0,30,1,1,"color",0.997999974131529,0.98,0
"277",40,0,30,1,1,"lambda",4.23891371896068,1,0
"278",40,0,30,1,1,"b0",0.940638332287209,0.5,0
"279",40,0,30,1,1,"b1",0.0593616677127939,0.5,0
"280",40,0,30,1,1,"tau",0.126206036934037,0.1,0
"281",41,0,30,1,1,"size",0.00100001280669532,0.01,0
"282",41,0,30,1,1,"shape",0.00100000002274717,0.01,0
"283",41,0,30,1,1,"color",0.997999987170558,0.98,0
"284",41,0,30,1,1,"lambda",9.98824931016828,1,0
"285",41,0,30,1,1,"b0",0.454686155789158,0.5,0
"286",41,0,30,1,1,"b1",0.545313844210842,0.5,0
"287",41,0,30,1,1,"tau",0.245478006374617,0.1,0
"288",42,0,30,1,1,"size",0.00100000012003181,0.01,0
"289",42,0,30,1,1,"shape",0.719808460509758,0.01,0
"290",42,0,30,1,1,"color",0.279191539370154,0.98,0
"291",42,0,30,1,1,"lambda",9.99999889141702,1,0
"292",42,0,30,1,1,"b0",0.21328036167422,0.5,0
"293",42,0,30,1,1,"b1",0.786719638325864,0.5,0
"294",42,0,30,1,1,"tau",0.201873969326567,0.1,0
"295",43,0,30,1,1,"size",0.00100000000016572,0.01,0
"296",43,0,30,1,1,"shape",0.657384698484682,0.01,0
"297",43,0,30,1,1,"color",0.341615301515181,0.98,0
"298",43,0,30,1,1,"lambda",9.9999935467126,1,0
"299",43,0,30,1,1,"b0",0.483896234525617,0.5,0
"300",43,0,30,1,1,"b1",0.516103765474334,0.5,0
"301",43,0,30,1,1,"tau",0.195669109663513,0.1,0
"302",44,0,30,1,1,"size",0.00100000000000035,0.01,0
"303",44,0,30,1,1,"shape",0.621744668398122,0.01,0
"304",44,0,30,1,1,"color",0.377255331601878,0.98,0
"305",44,0,30,1,1,"lambda",9.9999893336972,1,0
"306",44,0,30,1,1,"b0",0.769477096569687,0.5,0
"307",44,0,30,1,1,"b1",0.230522903430313,0.5,0
"308",44,0,30,1,1,"tau",0.207536222076571,0.1,0
"309",45,0,30,1,1,"size",0.391447162166251,0.01,0
"310",45,0,30,1,1,"shape",0.00100046578578715,0.01,0
"311",45,0,30,1,1,"color",0.607552372047961,0.98,0
"312",45,0,30,1,1,"lambda",1.38409251713686,1,0
"313",45,0,30,1,1,"b0",0.484485046210196,0.5,0
"314",45,0,30,1,1,"b1",0.515514953789804,0.5,0
"315",45,0,30,1,1,"tau",0.0777367528301451,0.1,0
"316",46,0,30,1,1,"size",0.0938345944681552,0.01,0
"317",46,0,30,1,1,"shape",0.00100000000000008,0.01,0
"318",46,0,30,1,1,"color",0.905165405531845,0.98,0
"319",46,0,30,1,1,"lambda",8.05517356104445,1,0
"320",46,0,30,1,1,"b0",0.0180285761144043,0.5,0
"321",46,0,30,1,1,"b1",0.981971423885596,0.5,0
"322",46,0,30,1,1,"tau",0.296962869792547,0.1,0
"323",47,0,30,1,1,"size",0.00100002004737576,0.01,0
"324",47,0,30,1,1,"shape",0.00100000000000001,0.01,0
"325",47,0,30,1,1,"color",0.997999979952624,0.98,0
"326",47,0,30,1,1,"lambda",4.43877440088793,1,0
"327",47,0,30,1,1,"b0",0.960375595575483,0.5,0
"328",47,0,30,1,1,"b1",0.039624404424517,0.5,0
"329",47,0,30,1,1,"tau",0.1442784346589,0.1,0
"330",48,0,30,1,1,"size",0.196018241396095,0.01,0
"331",48,0,30,1,1,"shape",0.186666407639531,0.01,0
"332",48,0,30,1,1,"color",0.617315350964365,0.98,0
"333",48,0,30,1,1,"lambda",1.5813736148912,1,0
"334",48,0,30,1,1,"b0",0.4215829391893,0.5,0
"335",48,0,30,1,1,"b1",0.5784170608107,0.5,0
"336",48,0,30,1,1,"tau",0.0153928048092098,0.1,0
"337",49,0,30,1,1,"size",0.00100001262057387,0.01,0
"338",49,0,30,1,1,"shape",0.00100001060875101,0.01,0
"339",49,0,30,1,1,"color",0.997999976770675,0.98,0
"340",49,0,30,1,1,"lambda",9.37701090594885,1,0
