"","run","discount","nblock","type","row","names","par","true_par","convergence"
"285",2,3,30,2,1,"b1",0.506683364776143,1,0
"286",2,3,30,2,1,"tau",0.129215233047182,0.5,0
"287",2,3,30,2,1,"size",0.00100125004007044,0.5,0
"288",2,3,30,2,1,"shape",0.413284238427823,0.1,0
"289",3,3,30,2,1,"size",0.291756202414302,0.333666666666667,0
"290",3,3,30,2,1,"shape",0.699037240965783,0.333,0
"291",3,3,30,2,1,"color",0.0092065566199151,0.333333333333333,0
"292",3,3,30,2,1,"lambda",9.99954043724127,1,0
"293",3,3,30,2,1,"b0",0.494015092763225,1,0
"294",3,3,30,2,1,"b1",0.505984907236775,1,0
"295",3,3,30,2,1,"tau",0.254234875498805,0.5,0
"296",3,3,30,2,1,"size",0.291756202414302,0.5,0
"297",3,3,30,2,1,"shape",0.699037240965783,0.1,0
"298",4,3,30,2,1,"size",0.197357193651179,0.333666666666667,0
"299",4,3,30,2,1,"shape",0.0175786170930321,0.333,0
"300",4,3,30,2,1,"color",0.785064189255789,0.333333333333333,0
"301",4,3,30,2,1,"lambda",9.99936911524598,1,0
"302",4,3,30,2,1,"b0",0.494156009473806,1,0
"303",4,3,30,2,1,"b1",0.505843990526194,1,0
"304",4,3,30,2,1,"tau",0.33320463300144,0.5,0
"305",4,3,30,2,1,"size",0.197357193651179,0.5,0
"306",4,3,30,2,1,"shape",0.0175786170930321,0.1,0
"307",5,3,30,2,1,"size",0.00100000000000001,0.333666666666667,0
"308",5,3,30,2,1,"shape",0.984042490406829,0.333,0
"309",5,3,30,2,1,"color",0.0149575095931732,0.333333333333333,0
"310",5,3,30,2,1,"lambda",5.98334544653192,1,0
"311",5,3,30,2,1,"b0",0.503921599172905,1,0
"312",5,3,30,2,1,"b1",0.496078400827095,1,0
"313",5,3,30,2,1,"tau",0.100790436110182,0.5,0
"314",5,3,30,2,1,"size",0.00100000000000001,0.5,0
"315",5,3,30,2,1,"shape",0.984042490406829,0.1,0
"316",1,3,30,2,2,"size",0.1465236720436,0.333666666666667,0
"317",1,3,30,2,2,"shape",0.329419669297644,0.333,0
"318",1,3,30,2,2,"color",0.524056658658786,0.333333333333333,0
"319",1,3,30,2,2,"lambda",2.02402647075686,5,0
"320",1,3,30,2,2,"b0",0.508892483516581,1,0
"321",1,3,30,2,2,"b1",0.491107516483419,1,0
"322",1,3,30,2,2,"tau",0.0235464817163993,0.5,0
"323",1,3,30,2,2,"size",0.1465236720436,0.5,0
"324",1,3,30,2,2,"shape",0.329419669297644,0.1,0
"325",2,3,30,2,2,"size",0.519381926421538,0.333666666666667,0
"326",2,3,30,2,2,"shape",0.204894080075203,0.333,0
"327",2,3,30,2,2,"color",0.275723993503259,0.333333333333333,0
"328",2,3,30,2,2,"lambda",9.99999990792145,5,0
"329",2,3,30,2,2,"b0",0.296958148642234,1,0
"330",2,3,30,2,2,"b1",0.703041851357766,1,0
"331",2,3,30,2,2,"tau",0.0988723404044906,0.5,0
"332",2,3,30,2,2,"size",0.519381926421538,0.5,0
"333",2,3,30,2,2,"shape",0.204894080075203,0.1,0
